,claim_veracity,claim,topics,speaker,context
42,False,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company","['energy', 'stimulus']",National Republican Congressional Committee,news
43,False,Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,"['abortion', 'pundits', 'women']",Rachel Maddow,ad
44,False,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,"['homeland-security', 'terrorism']",Jerry Patterson,speech
46,False,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.","['health-care', 'immigration']",Chain Email,writing
47,False,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,"['deficit', 'federal-budget']",John Boehner,speech
48,False,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,"['iraq', 'military']",Katrina Pierson,speech
49,True,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,['patriotism'],Blog Posting,speech
50,False,The paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,"['health-care', 'states']",Rick Perry,speech
51,False,"Maggie Hassan raised tuition, making it the highest in America.",['education'],National Republican Senatorial Committee,ad
52,False,Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,"['campaign-finance', 'ethics', 'history']",Ken Cuccinelli,speech
53,True,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",['jobs'],Andrew Cuomo,writing
54,False,"We have towns in West Texas that are out of water, that are having to truck in water.",['water'],Sid Miller,Undefined
57,False,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",['immigration'],Donald Trump,speech
58,False,Sen. Obama's campaign announced that he's choosing his cabinet.,['elections'],John Mccain,speech
59,True,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.","['elections', 'population']",Battleground Texas,speech
60,False,Only 2 percent of public high schools in the country offer PE classes.,"['education', 'health-care']",Michelle Obama,speech
61,True,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",['job-accomplishments'],Rudy Giuliani,speech
63,True,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.","['education', 'message-machine', 'taxes']",Empower Texans,social media
64,False,"Under Mayor Cicilline, [Providence] was a sanctuary city.","['history', 'homeland-security', 'immigration', 'legal-issues', 'pundits']",John Depetro,speech
65,False,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,"['corrections-and-updates', 'crime', 'criminal-justice', 'sexuality']",Garnet Coleman,speech
66,True,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.","['candidates-biography', 'job-accomplishments']",Mitt Romney,speech
67,False,"Donald Trump Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.","['civil-rights', 'elections', 'terrorism']",Donald Trump,speech
68,False,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,"['criminal-justice', 'terrorism']",Michael Opitz,ad
69,False,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,"['economy', 'financial-regulation', 'message-machine']",Rick Scott,ad
70,True,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",['jobs'],Terry Mcauliffe,speech
71,False,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.","['housing', 'message-machine-2012']",Mitt Romney,ad
72,True,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""","['immigration', 'legal-issues']",Alfredo Gutierrez,speech
73,True,The only time in our history when the debt has been higher than this was the end of World War II.,['debt'],David Cote,speech
74,True,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,"['deficit', 'federal-budget', 'health-care']",Barack Obama,speech
75,True,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.","['economy', 'abc-news-week']",George Will,speech
77,False,One out of three U.S. homeless men is a veteran.,"['poverty', 'veterans']",Texas Veterans Commission,news
78,False,Charlie Crist supports cuts to the Medicare Advantage program.,"['health-care', 'medicare']",Republican Party Florida,social media
80,True,Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,"['health-care', 'legal-issues', 'women']",Jeanne Shaheen,news
82,False,"In the past 20 years, Egypt has made great strides in political and democratic reform.","['foreign-policy', 'abc-news-week']",Sameh Shoukry,speech
83,False,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,"['terrorism', 'transportation']",Karl Rove,speech
84,True,U.S. Rep. Steve Southerland voted to keep the shutdown going.,['federal-budget'],Gwen Graham,ad
86,True,There is a federal criminal law that says its a crime to transport dentures across state lines.,['public-health'],Bob Goodlatte,speech
87,True,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,"['crime', 'criminal-justice']",Cory Booker,social media
88,False,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",['taxes'],Joe Biden,speech
89,False,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,"['city-budget', 'city-government', 'taxes']",Jim Skaggs,news
90,False,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",['immigration'],John Mccain,speech
91,True,I belong to the AFL-CIO.,"['candidates-biography', 'labor']",Rick Perry,Undefined
92,True,The insurance commissioner cant do squat about health care.,['health-care'],Ralph Hudgens,speech
94,False,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.","['foreign-policy', 'history', 'military']",Mitt Romney,speech
95,False,David Jolly supports privatizing Social Security.,['social-security'],Florida Democratic Party,Undefined
96,True,Did you know US population growth is at its lowest since the Great Depression?,"['immigration', 'population']",Robert Sarvis,social media
97,True,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",['education'],Will Weatherford,speech
98,True,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",['guns'],Mark Shields,news
99,True,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,['housing'],National Association Realtors,social media
100,False,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,['guns'],Brady Campaign Prevent Gun Violence,Undefined
101,False,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",['transportation'],Federal Transit Administration,news
102,True,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.","['income', 'message-machine-2014', 'poverty']",Alison Lundergan Grimes,speech
103,True,"Mitch Mcconnell Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.","['foreign-policy', 'history', 'terrorism']",Mitch Mcconnell,speech
104,False,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.","['foreign-policy', 'military', 'terrorism']",Donald Trump,speech
105,True,Sen. Obama has always had a 100 percent prochoice rating.,['abortion'],Barack Obama,social media
107,True,The (federal) debt is growing by more than $4 billion a day.,"['deficit', 'economy', 'federal-budget']",Rick Perry,Undefined
109,False,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.","['education', 'retirement']",Terry Mcauliffe,speech
110,True,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,"['government-regulation', 'jobs', 'poverty', 'welfare']",Scott Walker,speech
113,False,Obama promised unemployment would never go above 8 percent.,['jobs'],Paul Ryan,speech
114,True,The economy is creating jobs at the fastest pace since 1999.,"['economy', 'jobs']",Barack Obama,speech
115,True,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,"['foreign-policy', 'israel', 'message-machine-2012']",Adam Hasner,ad
116,True,"In a majority of states, you can now marry freely, but can still be fired for who you love.","['civil-rights', 'gays-and-lesbians', 'states']",Mark Pocan,speech
117,False,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,['candidates-biography'],Blog Posting,social media
118,False,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",['job-accomplishments'],Joe Biden,ad
119,False,"About half of the presidents have been governors; half of them, senators.","['congress', 'corrections-and-updates', 'elections', 'history', 'states']",Ted Cruz,speech
120,True,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.","['economy', 'retirement']",Hillary Clinton,speech
121,True,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",['medicaid'],Kathleen Sebelius,speech
122,True,88 Texas constables have died in the line of duty.,"['crime', 'criminal-justice', 'history', 'public-safety', 'public-service']",Bruce Elfant,speech
123,True,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",['education'],Republican Party Florida,ad
124,True,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.","['jobs', 'labor', 'unions']",Dave Yost,news
125,True,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",['job-accomplishments'],Alex Sink,writing
126,True,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,"['education', 'technology', 'women']",Hillary Clinton,speech
127,False,The Air Force wants taxpayers to fund a fantasy football league.,"['families', 'federal-budget', 'military']",Blog Posting,social media
128,False,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,"['islam', 'message-machine-2012']",Government Not God Pac,ad
130,True,Some neighborhood schools are closing.,"['education', 'state-budget']",Texas House Democratic Caucus,news
131,True,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,['gays-and-lesbians'],John Mccain,Undefined
132,True,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.","['state-budget', 'taxes']",Marco Rubio,speech
133,False,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.","['economy', 'jobs']",Rick Scott,social media
134,True,The U.S. Supreme Court found that Social Security is not guaranteed.,['social-security'],David Jolly,speech
135,False,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,"['congress', 'terrorism']",Jon Keyser,social media
136,True,Oregonians have an amazing no-cost way to fight abortion with free political donations,"['abortion', 'campaign-finance']",Oregon Right Life Pac,ad
137,False,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.","['foreign-policy', 'immigration', 'terrorism']",Sean Hannity,news
138,False,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.","['immigration', 'pundits']",Rush Limbaugh,speech
139,True,Newt Gingrichs immigration plan offers a new doorway to amnesty.,['immigration'],Mitt Romney,speech
140,False,Mr. Caprio is a career politician who has never worked in the private sector.,['candidates-biography'],John Robitaille,ad
141,False,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.","['disability', 'labor', 'states', 'workers']",Patricia Morgan,speech
142,True,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!","['debt', 'federal-budget', 'taxes']",Dave Brat,social media
143,True,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,"['campaign-finance', 'economy', 'elections', 'financial-regulation', 'history', 'stimulus', 'voting-record']",Hillary Clinton,speech
145,True,"Hillary Clinton has taken over $800,000 from lobbyists.",['ethics'],Barack Obama,ad
146,False,Barack Obama has never even worked in business.,['candidates-biography'],Rob Portman,speech
148,False,Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,"['crime', 'immigration']",Louie Gohmert,speech
149,False,"Donald Trump on the VA: Over 300,000 veterans have died waiting for care.","['health-care', 'veterans']",Donald Trump,speech
150,True,Were now spending 42 percent of our economy on government.,"['debates', 'federal-budget', 'government-efficiency']",Mitt Romney,speech
151,False,Rob Cornilles supports privatizing Medicare.,"['medicare', 'message-machine-2012']",Democratic Congressional Campaign Committee,ad
152,False,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.","['abortion', 'corrections-and-updates']",Texas Right Life,writing
154,False,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,['environment'],Jeff Kruse,speech
155,True,"Whether you like to admit it or not, half our general revenue goes to education.","['education', 'state-budget']",Mike Haridopolos,speech
156,False,Im the only one whos fought against developers draining the Everglades!,"['environment', 'message-machine']",Kendrick Meek,ad
159,False,Climate change is directly related to the growth of terrorism.,"['climate-change', 'terrorism']",Bernie S,speech
160,False,The jobs bill includes President Obamas tax on soup kitchens,"['economy', 'jobs', 'taxes', 'workers']",Eric Cantor,social media
161,False,The Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,['stimulus'],Paul Ryan,speech
164,False,We have more illegal immigrants here than we did five years ago.,['immigration'],Marco Rubio,speech
165,False,Rick Perry wrote a letter supporting Hillarycare.,['health-care'],Ron Paul,speech
166,False,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,['sports'],Blog Posting,social media
167,False,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.","['health-care', 'pundits']",Nancy Pfotenhauer,speech
168,True,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,['immigration'],Gary Johnson,speech
170,True,There are already more American jobs in the solar industry than in coal mining.,"['climate-change', 'energy', 'environment', 'jobs']",Sheldon Whitehouse,speech
173,True,"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",['immigration'],Rudy Giuliani,Undefined
175,False,Thomas Eric Duncan came into the United States with an elevated temperature.,"['ebola', 'health-care', 'public-health', 'transportation']",Darrell Issa,speech
176,True,We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,['afghanistan'],Robert Gibbs,speech
178,True,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,"['marriage', 'message-machine', 'women']",Alan Grayson,ad
179,True,Judges get better benefits at a lower cost than everybody else in the state.,['pensions'],Chris Christie,speech
180,True,There are a lot of casinos across the country that have gone bankrupt.,"['bankruptcy', 'economy', 'gambling', 'state-budget', 'state-finances', 'states']",Robert Jacquard,speech
181,True,Small businesses create 70 percent of the jobs in America.,"['economy', 'jobs', 'small-business']",Eric Cantor,news
184,True,If Texas were a country our economy would rank # 10...in the WORLD.,"['corrections-and-updates', 'economy', 'states']",Greg Abbott,social media
185,False,There are more oil rigs in operation in the United States than the rest of the world combined.,"['corporations', 'debt', 'economy', 'energy', 'environment', 'federal-budget', 'gas-prices', 'government-regulation', 'infrastructure']",David Cicilline,speech
188,True,It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,"['elections', 'taxes']",Americans Tax Reform,news
189,False,The Obama administration shut down the Amber Alert program because of the government shutdown.,"['children', 'crime', 'federal-budget']",Tweets,social media
190,True,The Republicans have 2 percent of the Muslim vote.,['religion'],Tamara Holder,speech
191,True,"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",['criminal-justice'],Hank Johnson,writing
192,False,"In a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.","['energy', 'environment', 'military']",Chain Email,writing
194,True,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.","['elections', 'immigration', 'pundits']",Mike Murphy,news
195,True,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,"['candidates-biography', 'congress', 'foreign-policy', 'history', 'terrorism']",Hillary Clinton,social media
196,False,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.","['pundits', 'transportation']",Sean Hannity,speech
197,False,Not one Republican has the guts to recognize that climate change is real.,"['cap-and-trade', 'climate-change', 'debates', 'economy', 'energy', 'environment', 'government-regulation', 'jobs', 'campaign-advertising', 'polls', 'public-safety']",Bernie S,speech
199,False,David Dewhurst has a record of promoting an income tax.,['taxes'],Ted Cruz,Undefined
200,True,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,"['environment', 'income']",Vincent Barrella,news
201,False,"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.",['afghanistan'],Alan Grayson,speech
202,False,"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.","['crime', 'homeland-security', 'immigration']",Lamar Smith,news
203,False,The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,"['economy', 'jobs']",Bill Johnson,speech
204,False,Obama health reform law denies millions access to affordable insurance.,"['health-care', 'workers']",Eric Hovde,social media
205,False,HB2 hasnt moved the needle one iota on North Carolinas economy.,"['corporations', 'economy', 'gays-and-lesbians', 'state-finances', 'states']",John Skvarla,speech
206,False,Close to 30% of our federal prison population consists of illegal immigrants.,['immigration'],Daniel Mielke,speech
207,False,Rick Scott called education not a core function of the state.,"['education', 'state-budget']",Florida Democratic Party,news
208,False,"The Family Research Council, according to some government agencies, is a terrorist group.",['terrorism'],Ben Carson,speech
209,True,"Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.","['health-care', 'taxes']",Blue Oregon,social media
210,True,In the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,"['elections', 'states']",Raymond Bateman,news
211,False,Obamacare is the biggest tax increase in American history.,"['corrections-and-updates', 'federal-budget', 'health-care', 'taxes']",Mark Neumann,speech
212,True,You ... said that Barack Obama was not ready to be commander in chief.,['candidates-biography'],Sarah Palin,Undefined
213,True,"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.","['economy', 'jobs', 'labor', 'workers']",Rana Foroohar,speech
214,False,Milwaukee Mayor Tom Barrett has held the line on property taxes.,"['job-accomplishments', 'taxes']",Barack Obama,speech
215,True,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,['campaign-finance'],Alan Grayson,speech
216,True,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.","['bipartisanship', 'job-accomplishments']",Tom Niehaus,social media
217,False,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,"['job-accomplishments', 'message-machine-2012', 'state-finances']",Sherrod Brown,ad
220,True,"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.","['economy', 'federal-budget']",Barack Obama,speech
222,True,U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,"['foreign-policy', 'religion', 'terrorism']",Ileana Ros Lehtinen,news
223,False,"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront.","['labor', 'public-safety']",Chris Moews,speech
224,True,There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,"['criminal-justice', 'government-regulation']",Robby Mook,speech
225,True,"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""","['economy', 'history', 'workers']",Carolyn Maloney,speech
226,True,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.""",['iraq'],Lindsey Graham,speech
227,False,Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.,['bipartisanship'],Mark Strama,speech
230,True,"Under Rick Perrys plan, Texas has cut funding for public schools by 25%.","['children', 'education', 'state-budget', 'state-finances']",Fix Austin Schools,Undefined
232,True,The Paul Ryan budget proposal would privatize Medicare.,"['federal-budget', 'health-care', 'medicare']",Agenda Project,ad
233,True,High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.,"['criminal-justice', 'education']",Steven Teske,news
235,False,Marco Rubio is the one for an open border.,['immigration'],Rand Paul,speech
236,True,"...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.","['education', 'federal-budget']",Dave Brat,social media
237,False,Cuts to Medicare affect people who have already paid in. We paid for it.,"['federal-budget', 'health-care', 'medicare']",National Republican Senatorial Committee,ad
238,False,David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott.,"['bipartisanship', 'campaign-finance', 'candidates-biography']",Kesha Rogers,speech
239,True,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.,"['federal-budget', 'health-care']",Sheldon Whitehouse,speech
240,False,Providences port is 200 miles closer to Europe than any other Eastern port.,"['economy', 'infrastructure', 'trade', 'transportation']",James Bennett,speech
241,True,You need a photo ID to purchase Sudafed in Texas.,"['elections', 'legal-issues']",Rick Perry,speech
242,True,Twenty percent of housing in Portlands Pearl District is affordable.,"['housing', 'infrastructure', 'taxes', 'urban']",Tom Hughes,news
243,True,"Allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012.",['taxes'],Jeff Merkley,writing
246,True,"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.",['federal-budget'],Judd Gregg,speech
247,False,Donald Trump Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on.,['veterans'],Donald Trump,social media
248,False,We now have driven (health care) costs down to the lowest theyve been in 50 years.,['health-care'],Hillary Clinton,speech
251,True,"In the 1950s, ""A lot of people got rich and they had to pay a top tax rate of 90 percent.""",['taxes'],Michael Moore,Undefined
252,True,"The Charleston, S.C., shootershould have never been given a gun, but the universal background check was not fast enough.","['corrections-and-updates', 'guns', 'homeland-security']",Hillary Clinton,speech
253,False,Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier.,['iraq'],Bill Richardson,speech
254,False,Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.,"['health-care', 'supreme-court']",Barack Obama,speech
256,True,Warren (Buffett) still does support me.,['economy'],Barack Obama,speech
257,True,George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.,"['candidates-biography', 'jobs']",Connie Mack,ad
258,False,A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!,['elections'],Facebook Posts,social media
259,True,"About 230,000 people that were on unemployment when I took office are not on unemployment now.","['economy', 'workers']",Rick Scott,speech
260,False,"One person, Kathleen Sebelius, was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die.","['children', 'health-care', 'public-health', 'pundits']",Rush Limbaugh,speech
261,False,Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.,['immigration'],Allen West,ad
262,False,Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.,"['criminal-justice', 'health-care', 'legal-issues', 'privacy']",Evan Feinberg,speech
263,True,"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years.",['crime'],Bill White,ad
264,False,Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.,"['corrections-and-updates', 'obama-birth-certificate']",Facebook Posts,social media
265,False,"John McCain, ""one of the richest people in a Senate filled with millionaires,"" says the solution to the housing crisis is for people to get a ""second job"" and ""skip their vacations.""",['economy'],Moveon,writing
266,False,"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises.","['education', 'state-budget', 'taxes']",Ken Cuccinelli,speech
268,True,"Since the federal Violence Against Women Act was adopted in 1994, cases of domestic violence have fallen by 67 percent.","['crime', 'criminal-justice', 'women']",Gwen Moore,ad
271,True,Nearly half of all pregnancies in the U.S. are unintended.,"['abortion', 'census', 'children', 'families', 'health-care', 'public-health', 'women']",Edith Ajello,speech
275,False,The top 1 percent pay over half of the entire revenue for this country.,['taxes'],Trent Franks,speech
