,claim,claim_veracity
65,Paper Moon (film) was incapable of being directed by Peter Bogdanovich.,0
66,Father of the Bride only features Heath Ledger.,0
67,Radiohead pioneered alternative release albums.,1
68,Nina Simone's hometown is in the United States.,1
69,Antarctica is the richest continent.,0
70,"Central America contains Belize, Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua, and Panama.",1
71,Kanye West was born in Atlanta and raised in Chicago.,1
72,Adolf Hitler was a follower in the NSDAP in 1921.,1
73,Broadcast News is a comedy-drama film.,1
74,The Rolling Stones are a troupe.,0
75,Stagira is an American city.,0
76,Didier Drogba never played for the Ivory Coast national team.,0
77,Amitabh Bachchan has yet to win any National Film Awards for Best Actor.,0
78,Wiz Khalifa is from New York.,0
79,Islam is the world's second-smallest religion.,0
80,Outlander is not based on a series of novels.,0
81,"The Who had a single titled ""I Can't Explain"".",1
82,Robert Redford's career began in films.,0
83,Andrew Wood (singer) is not a singer.,0
84,Lion was written by Garth Davis.,0
85,Nineteen Eighty-Four's heroine is James.,0
86,Hot was by a British pop singer.,1
87,Only one actor has ever played Superman.,0
88,Macbeth is by Eugene Scribe.,0
89,Toy Story 3 is a 2010 novella.,0
90,Katherine Heigl started acting in 2001.,0
91,There is an album called 25 by Adele.,1
92,Chitty Chitty Bang Bang is only a book.,0
93,Jordan Peele is a stateless person.,0
94,Adam West has a career spanning six centuries.,0
95,Red was written by Morgan Freeman.,0
96,Cleopatra (1963 film) omits the struggles of a young Queen of Egypt to resist the imperial ambitions of Rome.,0
97,The Philippines is newly American.,0
98,Carolina Panthers are a sports team from South Carolina.,0
99,South America was colonized.,1
100,Ethiopia is unofficially the Federal Democratic Republic of Ethiopia.,0
101,Stone Temple Pilots are exclusively from Brazil.,0
102,Bob Riley is a politician.,1
103,Lodging is done in a guest house or residence.,1
104,Jack Reacher (film) was directed by a director.,1
105,Django Unchained is a film directed by Quentin Tarantino.,1
106,"Gray Davis was blamed for the California electricity crisis, causing his approval rate to drop.",1
107,Henry VIII of England had numerous costly continental wars.,1
108,Assassin's Creed is a video game series of nine games.,1
109,Emmy Rossum was in a film.,1
110,One of Soul Intent's original members was Eminem.,1
111,Supernatural is a fantasy movie.,0
112,"Sean Combs was born in Harlem, New York.",1
113,Hayley Atwell is Yiddish.,0
114,Bats are the only mammals naturally capable of true and sustained flight.,1
115,Antarctica is the continent with the lowest average elevation.,0
116,Noam Chomsky did not co-write the propaganda model.,0
117,Jim Carrey played the character Colonel Stars and Stripes in 2005.,0
118,Nelson Mandela received only praise from the radical left.,0
119,Damages (TV series) is incapable of being premiered on the 24th.,0
120,The Chainsmokers is a soloist.,0
121,Nina Simone was born in Japan.,0
122,Brigitte Macron is only a middle-school teacher.,0
123,"On July 31st, 1951, Evonne Goolagong Cawley was born.",1
124,Randy Orton was born in 1990.,0
125,Vikram was in a Tamil-language film.,1
126,Confessions' production was handled by Jermaine Dupri in 2004.,1
127,Dwayne Johnson was the winner of the WWF Tag Team Championship five times.,1
128,"Elvis Presley had a heart attack in the bathroom of Graceland on August 16, 1977.",1
129,There were songs on Long Road Out of Eden.,1
130,Little Boy was dropped by a commander of the United States Army Air Forces.,1
131,Pluto has something in its orbit.,1
132,Billie Jean King plays tennis.,1
133,Big Brother 18 is hosted by Rob Lowe.,0
134,Animated films are something that Angela Lansbury contributed to.,1
135,Vikram is an entertainer.,1
136,John Constantine was originally a main character.,0
137,In Dubious Battle was directed by Vincent D'Onofrio.,0
138,China is Taiwan's neighbor.,1
139,Led Zeppelin were only German.,0
140,"William R. Tolbert Jr. died on April 12, 1980.",1
141,Charles Woodruff Yost was a United States Ambassador to the United Nations for two years.,1
142,Crystal Palace F.C. lost the Full Members Cup in 1991.,0
143,Toy Story featured the song You've Got a Friend in Me.,1
144,The Smurfs began filming in March 2010.,1
145,"By 1933, the Nazi Party was a large party in the German Reichstag.",1
146,Nina Simone was born in 1935.,0
147,"In 1989, Tina Turner released Foreign Affair.",1
148,Laadla means The Beloved Son.,1
149,Troy Baker has voiced every character in World of Warcraft: Warlords of Draenor.,0
150,Dwayne Johnson is a celebrity.,1
151,Machu Picchu was built in a certain style.,1
152,Samuel Witwer's middle name is Kevin.,0
153,Wynonna Judd is involved in music.,1
154,Equidae includes some species known only from their bones.,1
155,The megamouth shark is a shark outside of the Lamniformes order.,0
156,Marshall McLuhan was a controversial television.,0
157,Vanilla Sky stars an actor born on July 3.,1
158,Triple H works in business.,1
159,The protagonist of Star Wars is Chewbacca.,0
160,Ratatouille lost every Oscar it was up for.,0
161,Cristiano Ronaldo did not reach 100 goals in European club competitions.,0
162,Thor: The Dark World was released in 2015 in the United States.,0
163,Anorexia nervosa is often referred to simply as anorexia by the average person.,1
164,"Barbados has a population of 280,121 native residents.",1
165,Tropic Thunder was written by Etan Cohen.,1
166,Snow White and the Seven Dwarfs (1937 film) involves computer graphics.,0
167,Zooey Deschanel is from America.,1
168,"Celeste and Jesse Forever stars Rashida Jones, Andy Samberg, and Will McCormack.",1
169,Reporter was a job held by Sunny Leone.,1
170,Toy Story received three Academy Award nominations including Best Original Screenplay.,1
171,Ready Player One was sold.,1
172,Minnesota was originally settled by the Ojibwe/Anishinaabe.,1
173,Warren Buffett was born in a state.,1
174,Louis C.K. created the web series Horace and Pete.,1
175,Stephen Rider is from America.,1
176,Children are affected by CP.,1
177,American Gods was not developed by Bryan Fuller and Michael Green.,0
178,Tom Franco is not the brother of James Franco.,0
179,Guy-Manuel de Homem-Christo is from France.,1
180,David Dhawan works on films.,1
181,Chandni is exclusively a children's film.,0
182,Pawn Sacrifice stars a gaggle of lambs.,0
183,Just the Way You Are is a song in the musical Doo-Wops and Hooligans.,0
184,Stanley Kubrick was a director.,1
185,Game of Thrones has won more Primetime Emmy Awards than any other film series.,0
186,Cyclobenzaprine can be used to relieve some spasms.,1
187,Patrick Cutrone is a footballer for Milan.,1
188,Split was written by Martin Scorsese.,0
189,Billy Bob Thornton appeared in a film based on the novel Primary Colors: A Novel of Politics.,1
190,Bill Gates was born in 1955.,1
191,Tom Hanks and John Candy starred in the film Splash.,1
192,The Fifth Element's plot involves Korben Dallas who is a driver of a taxicab.,1
193,Paul Thomas Anderson never produced a film.,0
194,Appian Way Productions is in California.,1
195,Richard Gere starred in a romantic comedy film.,1
196,Sherrybaby is a television series.,0
197,Samoa Joe is an accountant full time.,0
198,Nepal never borders India.,0
199,Christian Bale's middle name is Philip.,1
200,1944 is the first possible year Rope could have been made.,0
201,How to Train Your Dragon (film) did not win the Academy Award for Best Animated Feature.,1
202,The Fifth Element was the priciest European film ever made at the time of its filming.,1
203,Dwight Schrute is a real person.,0
204,Kong: Skull Island avoids the involvement of Samuel L. Jackson.,0
205,The Directors Guild of America's predecessor merged with a pizza parlor.,0
206,There are multiple awards won by Walter Matthau.,1
207,The Dark Knight Rises' filming took place in 2013.,0
208,Snooki is a Pisces.,0
209,American Gods is not an American television series.,0
210,Lonesome Dove is adapted.,1
211,In Her Shoes is an unadapted novel.,0
212,"Alessia Cara worked with producer Zedd in 2017 to record the audio track ""Stay"".",1
213,George H. W. Bush finished school in 1948.,1
214,Avatar had Sam Worthington in its cast.,1
215,Scanline VFX is a reviewer for Battleship.,1
216,Emily Browning is a person.,1
217,"Hacksaw Ridge was released on November 4, 2020.",0
218,Motorola has business and government clients.,1
219,"Startford, London is a district.",1
220,Nicole Scherzinger sold at least 37 million singles.,1
221,Sigmund Freud set up his clinical practice in 2001.,0
222,The United States Naval Academy is city.,0
223,25 was released in 2013.,0
224,William Hanna worked in the United States.,1
225,Room is written by Emma Donoghue and based on her novel of the same name.,1
226,The Weeknd is a director.,0
227,Sue Vertue was born on September 30.,0
228,Back to the Future Part II is historical fiction.,0
229,The Vietnam War started in 1955.,1
230,Dwight Schrute was married to Rainn Wilson.,0
231,Chris Evans moved to London.,1
232,Eminem was a member of a musical group.,1
233,Portia de Rossi only starred in Better Off Ted.,0
234,Whiskey Tango Foxtrot is a film.,1
235,Richard Burbage failed to play roles.,0
236,Code Geass has a manga adaptation.,1
237,Hugh Jackman is in films.,1
238,One of Archimedes compositions was The Archimedes Palimpsest.,1
239,Demi Lovato is an LGBT community advocate.,1
240,Adderall does not contain a levoamphetamine component.,0
241,Ajay Devgan has directed movies.,1
242,The Waterboy has a cameo by Jimmy Johnson.,1
243,The Twilight Saga's second film was released in 2010.,0
244,Give Me Everything was produced by Afrojack.,1
245,The Amazing Spider-Man 2 was written in one draft.,0
246,Dawn of the Dead (1978 film) is a scary movie.,1
247,Mary-Louise Parker got a Golden Globe.,1
248,Cosmopolitan is a magazine.,1
249,Valkyrie is only set in America.,0
250,Queen Victoria was alive during the 1870s.,1
251,Susan Sarandon only debuted in An Evening with Richard Nixon in 1934.,0
252,James Mangold wrote Walk the Line in collaboration with at least one other person.,1
253,Boston Latin School is a language.,0
254,Modern Family isn't capable of being a television show.,0
255,Overwatch is an 18th century novel.,0
256,Chris Froome finished second in the 2011 Vuelta a España behind Lance Armstrong.,0
257,Taylor Swift was unsuccessful in Australia.,0
258,Father of the Bride stars Kieran Culkin.,1
259,Stephen Rider is an American actor.,1
260,"The internet consists of private, public, academic, business, and government networks.",1
261,Saddam Hussein was the fifth president of Iraq.,1
262,Malaysia Airlines cut routes to the Americas and South Africa.,1
263,Joseph Fiennes was born in May of 1970.,1
264,Paul Mantee has worked with movie director Byron Haskin.,1
265,Funny Girl (film) is a musical television show.,0
266,Dr. Dre was previously an artist on Death Row Records and he was successful.,1
267,Ken Russell directed the film Women in Love.,1
268,Prison Break revolves around the story of two people.,1
269,Paul Newman was an open-wheel IndyCar driver.,1
270,Divergent is an unadapted novel.,0
271,Fantastic Beasts and Where to Find Them was released in only one format.,0
272,The Long Run was solely written by Glenn Frey.,0
273,Audrey Horne was introduced in anything except a series that premiered on Sunday.,0
274,Santorini is unpopulated.,0
275,Kuala Lumpur is the cultural center of Mexico.,0
276,Legion is an American supernatural music video.,0
277,Tamara Taylor was born in December.,0
278,Filmfare is about Hollywood.,0
279,Chicago is an urban area larger than a town.,1
280,Milla Jovovich was employed alongside Luc Besson.,1
281,Usher is one of the best-selling music artists of all time.,1
282,The Second Punic War was before the War Against Hannibal.,0
283,Fifth Harmony has not sold 7 million digital songs.,0
284,Iron Fist is based on the Marvel Comics character.,1
285,The University of Oxford operates the world's second oldest university press after Cambridge University Press.,1
286,New England is in Canada.,0
287,A mixtape is a compilation of music made at home.,1
288,Karan Johar is incapable of being in the film called Kuch Kuch Hota Hai.,0
289,Deadpool stars Summer Glau.,0
290,Split (2016 American film) is about a man with 23 different personalities.,1
291,Indonesia has an abundance of copper.,1
292,Juris Doctor is gained by the completion of law school in Canada.,1
293,Christopher Reeve stars in Rear Window (1998 film).,1
294,The Divergent Series: Insurgent is based on the Divergent trilogy's second novel.,1
295,Jennifer Aniston was born in 1989.,0
296,Life After Death is by a Canadian.,0
297,Russell Crowe was directed by Ridley Scott in Gladiator.,1
298,Paul Pierce earned All-America first team honors.,1
299,The Formula (1980 film) was released by Metro-Goldwyn-Mayer.,1
300,Girls' Generation includes a human.,1
301,"Grace VanderWaal was born on January 15, 2004.",1
302,Bill Clinton served as President of the United States.,1
303,The Big Chill stars Tom Berenger and Jeff Goldblum as well as many others.,1
304,Pluto is in France.,0
305,Shakira has only seven albums.,0
306,Berlin is seven years old.,0
307,Tim Robbins was an Indian activist.,0
308,Liev Schreiber is a producer.,1
309,Tim Rice collaborated with anyone but a musician.,0
310,Constantine is a 2005 action horror film.,1
311,Sarah Michelle Gellar did not co-found a cooking and lifestyle company that sells baking kits for children.,0
312,Judi Dench played the lead role in Chocolat.,0
313,Here is by a murderer.,0
314,Wonder Woman is a superhero character.,1
315,Ludacris has not won a Screen Actors Guild award.,0
316,Sean Combs only released the album Forever in 1899.,0
317,Dracula is a comedic book.,0
318,"Valkyrie, the film, is set during World War II.",1
319,In Too Deep is a movie directed by Michael Rymer.,1
320,Muhammad Ali was born in 1960.,0
321,Islam's primary scripture is the Quran.,1
322,Mark Hamill is a performer.,1
323,The Democratic Republic of the Congo was once a former Belgian colony.,1
324,I Believe (Frankie Laine song) was written by an American lyricist.,1
325,Naturi Naughton was born in 1990.,0
326,Becoming Jane is based on a novel by Jon Hunter Spence.,0
327,Susan Atkins was born in the 1800s.,0
328,50 First Dates is an American movie from 2004.,1
329,Into the Woods received three music nominations.,1
330,Lexmark is only based in China.,0
331,Kris Kristofferson did not collaborate with Shel Silverstein.,0
332,The Walt Disney Company made Timon & Pumbaa.,1
333,Sofia Coppola directed a remake of a film.,1
334,There is a film called Mickey Blue Eyes with Hugh Grant in it.,1
335,Julia Louis-Dreyfus has not been on television.,0
336,Franklin Roosevelt turned 23 in February of the year 1905.,0
337,Batman v Superman: Dawn of Justice is a carnival.,0
338,Bob Riley served as a governor from 2003 to 2011.,1
339,The National Council for Peace and Order has control.,1
340,Rhode Island renounced its allegiance to the British Crown in 1779.,0
341,David Carradine was in over 100 movies.,1
342,Toy Story 3 is an American 3D computer-animated comedy drama film.,1
343,The Wire is an unadapted novel.,0
344,Led Zeppelin II was recorded by Barack Obama.,0
345,Glenn Frey didn't sing rock music.,0
346,A.J. Cook appeared in Final Destination 2.,1
347,San Francisco was first colonized by European colonists.,1
348,Eminem's only hip hop group was based in London.,0
349,David Thewlis was passed over for the role of King Duncan.,0
350,Negan is a character that can only be found in the comic book series Saga.,0
351,Eagles (band) has yet to release an album.,0
352,Scott Eastwood is an American model.,1
353,Persuasion (2007 film) premiered on the 1st.,1
354,Alpha Centauri is a 4.37 light years from the Sun.,1
355,A live action film that Andrew Stanton worked on was Disney's John Carter.,0
356,Emma has yet to be broadcast on A&E.,0
357,The Americas is the origin place of Machu Picchu.,1
358,The Prestige was directed by James Cameron.,0
359,California is the location of Alcatraz Federal Penitentiary.,1
360,"Kid Rock released the single ""Cowboy"" in 1902.",0
361,Until Dawn was published by Sony Computer Entertainment.,1
362,Anne Hathaway is a widely acclaimed actress.,1
363,A prime minister can be required to seek a parliamentary dissolution due to a loss of supply.,1
364,The Murder of Roger Ackroyd is a work done by Agatha Christie.,1
365,Romelu Lukaku is only German.,0
366,The Divergent Series' first movie had Neil Burger as director.,1
367,Brothers has Jake Gyllenhaal in it.,1
368,Paul Feig directed a comedy film.,1
369,Lauren Graham's middle name is only Steve.,0
370,Laurence Fishburne did not act in a reboot.,0
371,A mixtape is recorded.,1
372,Hotel Hell is only a podcast.,0
373,"Break on Me was released before October 23rd, 2015.",1
374,Mexico is the most populous French-speaking country.,0
375,John Stewart appeared in DC comics.,1
376,Death in Paradise (TV series) was created by a screenwriter.,1
377,Andrew Wood was the back-up singer of a Seattle rock band.,0
378,Her role as a serial killer in Monster brought Charlize Theron critical acclaim.,0
379,The Council on Foreign Relations is a for-profit.,0
380,The Council on Foreign Relations specializes in international affairs and U.S. foreign policy.,1
381,Heather Graham was featured in the series Emily's Reasons Why Not.,1
382,Anaconda is from Nicki Minaj's first studio album.,0
383,R. Kelly has sold over 100 million dogs worldwide.,0
384,Wayne Rooney is a player for Ireland.,0
385,Iraq's largest city is Baghdad.,1
386,Slovakia is between Western Europe and Central Europe.,0
387,Qatar is a country.,1
388,Wladimir Klitschko has fought in less heavyweight title fights than any heavyweight champion in the sport's history.,0
389,Year Zero was released by Columbia Records.,0
390,"Oakland, California is the smallest city in California.",0
391,Klute is an American television show.,0
392,Ed Sheeran was born in Bristol.,0
393,Goat Island is only connected to the smaller Luna Island by a car bridge.,0
394,"Lebanon was referred to as the ""Switzerland of the East"" in the 1960s.",1
395,Neal Schon has a middle name called Josephina.,0
396,Alicia Silverstone played Batgirl.,1
397,Drake (musician) had an album that was certified by a trade organization that represents the recording industry in the United States.,1
398,"Windsor, Ontario lacks a storied history.",0
399,The Conjuring 2 was directed by James Cameron.,0
400,Red Hot Chili Peppers' original line-up had yet to acquire guitarist Hillel Slovak.,0
401,Jim Rash is an american comedian.,1
402,Michelle Pfeiffer lost a BAFTA Award.,0
403,Northeast megalopolis includes Hartford.,1
404,Observer Media is a company.,1
405,Matt Smith's first television role came in 2012.,0
406,Jeanine Pirro was very prominent.,1
407,Eminem has a car called Infinite.,0
408,Travis Barker drummed on a song on Wonderwall.,0
409,Moses Malone participated in the 1981 NBA Finals.,1
410,Marilyn Monroe has stayed in the accounting industry her whole life.,0
411,The Wolf of Wall Street was the 17th-highest-grossing film of 2009.,0
412,Dwayne Johnson is French.,0
413,Paulo Dybala plays football for the Argentina national American football team.,0
414,The American Broadcasting Company is the fourth oldest broadcasting network.,0
415,Fred Savage is a carpet salesman.,0
416,The second-largest cat species is the lion.,1
417,Jack Nicholson has yet to win a Golden Globe Award.,0
418,The most populous landlocked country in the world is Ethiopia.,1
419,Ivanka Trump finished serving as assistant to the president.,0
420,The majority of The Leftovers's cast is English.,0
421,Winnipeg is foreign to the Winnipeg Goldeyes.,0
422,Ellen DeGeneres never appeared on The Tonight Show Starring Johnny Carson.,0
423,"Brigitte Macron was born on April 23, 1953.",0
424,"John II of Portugal was born on September 14th, 1888.",0
425,Margot Kidder won an award in 2015.,1
426,Avatar: The Last Airbender aired exclusively on Disney.,0
427,Jenna Dewan is only a painter.,0
428,Jennifer Aniston is married to Justin Theroux.,1
429,Uranus's lowest temperature is 49 K.,1
430,Syd Barrett founded a rock band.,1
431,Bill Cosby began his stand-up career in a house.,0
432,Vladimir Putin studied only French in high school.,0
433,Her stars French actress Rooney Mara.,0
434,Robert F. Kennedy began his political career in Nevada.,0
435,Cosmopolitan is a newspaper.,0
436,Subhas Chandra Bose died on 10 August 1945.,0
437,Louise Simonson was born in 1946.,1
438,Cracks was released theatrically in 2009.,1
439,Lewis Hamilton is a British race car driver.,1
440,Giacomo Casanova was from outside of the Republic of Venice.,0
441,Columbia Pictures released The Smurfs (film).,1
442,Bermuda is an associate member of Caribbean Community (CARICOM).,1
443,Olivia Munn is a person.,1
444,Kristen Bell acted in a noir drama film.,0
445,Corey Taylor is a vocalist.,1
446,Jeremy Allen White is an American television director.,0
447,The Odia language is spoken in a place.,1
448,Abraham Lincoln was born in 1862.,0
449,The Right Stuff was adapted from a comic strip.,0
450,The wendigo is native to the United States.,1
451,Ruth Negga is not an actress.,0
452,Tequila is made from the aloe plant.,0
453,Tropic Thunder is a painting.,0
454,T-Pain only works in the oil industry.,0
455,Halle Berry has a child with a Canadian model.,1
456,Robert Redford received the Best Supporting Actor nomination.,1
457,"J. Howard Marshall was born in July 4th, 1999.",0
458,British Columbia includes Long Island.,0
459,"Stevie Ray Vaughan was raised in Dallas, Texas.",1
460,Steve Buscemi the film Trees Lounge's director.,1
461,Islam didn't have a prophet named Muhammad.,0
462,"Lilith in Hebrew translates to ""night monster.""",1
463,Gendry is a character in Game of Thrones.,1
464,Fifth Harmony currently consists of 7 members.,0
465,Michael Schumacher is incapable of winning a title in 2003.,0
466,Sue Vertue produced a sitcom written by Steven Moffat.,1
467,Queen Victoria's mother was Princess Victoria.,1
468,Jousting is based on the military use of the weapon of joust by heavy logs.,0
469,Same-sex marriage is illegal in the Northern Mariana Islands.,0
470,Jessica Biel acted in Stealth with Jamie Foxx.,1
471,Cloud Atlas premiered at the 27th Manhattan International Film Festival.,0
472,An Academy Award nominee for Best Visual Effects was Captain America: The Winter Soldier.,1
473,The RMS Titanic called at a place in Ireland.,1
474,Julie Christie has yet to receive an Oscar nomination.,0
475,"Sharon Tate died on July 9, 1969.",0
476,There is nothing north of Asia.,0
477,Fernando Alonso is Spanish.,1
478,Britney Spears' ninth EP is Blackout.,0
479,"Chris Hemsworth is known for his role on the Australian TV series Home and Away, airing currently.",0
480,"Richmond, Virginia is a village.",0
481,Cindy McCain is married to a 2008 rugby champion.,0
482,Saving Private Ryan was directed by a person born in December 1967.,0
483,Horseshoe Falls is one of a set of three mountains.,0
484,Adolf Dassler founded a German automobile company called Adidas.,0
485,Xbox One was created by Microsoft.,1
486,Parting Glances is a film.,1
487,Arnold Schwarzenegger was a movie.,0
488,Led Zeppelin put out the album Physical Graffiti in 1975.,1
489,Winona Ryder was passed over for all Academy Award nominations.,0
490,"In its first week, Lil Wayne's sixth album sold more than a million copies in the United States.",1
491,Texas is always dissociated with deserts.,0
492,Oliver Reed was in a movie in 1936.,0
493,Star Wars is a franchise based on a movie series by an American filmmaker.,1
494,"The Godfather Part III grossed more than $130,000,000.",1
495,"In February 2014, Apple Inc. became the first U.S company to be shut down permanently, losing all of its value.",0
496,Home Alone does not have a character called Kevin McCallister.,0
497,Faith Evans has released an album.,1
498,Chris Hardwick wasn't involved in Singled Out.,0
499,Shahid Kapoor is an award-ceremony venue.,0
500,Patty Hearst was kidnapped.,0
501,South Korea is ranked among the highest in something.,1
502,Aneurin Barnard was born in the 20th century.,1
503,John Fante is a writer.,1
504,Joey Graceffa is anything but a YouTuber.,0
505,Silicon Valley is an area.,1
506,Richard Branson founded Virgin Records in 1974.,0
507,Red's stars are all female.,0
508,The Narrows only stars Tom Cruise.,0
509,Danny DeVito has a business startup called The Blood Factory.,1
510,Ben Stiller is a member of the group of comedic actors known as the Frat Pack.,1
511,Emmanuel Adebayor is Togo's lowest goalscorer.,0
512,Ty Cobb finished his career with the Dallas Cowboys.,0
513,Royal Rumble (2002) was a professional hockey event.,0
514,Austria was a party involved in the Austro-Prussian War.,1
515,Marshall McLuhan predicted the World Wide Web before it was invented.,1
516,Jesus is also known as Jesus of Canada.,0
517,Sue Vertue has no middle name.,0
518,American Horror Story's first season has no subtitle.,0
519,Steve Mouzakis was in Where the Wild Things Are.,1
520,Georgia Institute of Technology's location is Atlanta.,1
521,Tobey Maguire was born on June 28.,0
522,Pablo Picasso had a rivalry with Henri Matisse.,1
523,The wendigo is native to the Great Lakes Region and is a cannibal.,1
524,A Little More was released by Machine Gun Kelly.,1
525,"Black Sails was renewed for a third season on October 12, 2014 by ABC executives.",1
526,Sunny Leone was not a reporter.,0
527,Cary Grant co-directed in the film The Philadelphia Story.,0
528,Got a Girl is a musical trio.,0
529,Game of Thrones is a fantasy football series.,0
530,Black Sabbath is still together.,0
531,Pat Riley was born in 1945.,1
532,Kim Kardashian is married.,1
533,The Fosters is a recorded work.,1
534,Metroid II takes place before Super Metroid.,1
535,Gift of the Night Fury stars the voice of an actress whose birthday was in April.,1
536,FC Barcelona has won one Champions League.,1
537,The Breakfast Club is a film.,1
538,The Lego Movie is a theme park.,0
539,Snoop Dog's Doggystyle sold nearly a million copies in the first week of its release.,1
540,RuPaul is a drag king.,0
541,Melina Matsoukas directed We Found Love's music video.,1
542,To Kill a Mockingbird (film) was Robert Duvall's debut in a certain medium.,1
543,Pixar was not funded by an American industrial designer.,0
544,Leslie Uggams appeared in a movie directed by Tim Miller.,1
545,Miyu Irino is a citizen of an Asian country.,1
546,The credit for pressuring the South African Government is given by some to Disinvestment from South Africa.,1
547,Leicester City F.C. is an American football club.,0
548,Nick Jonas was released in November.,1
549,The Kitti's hog-nosed bat is an animal.,1
550,Steve Buscemi is in the film Reservoir Dogs.,1
551,Gemma Arterton performed in the 2010 film Clash of the Titans.,1
552,Gwen Stefani is a performer.,1
553,Nocturnal Animals was selected to compete for an award.,1
554,Attack the Block is a TV show.,0
555,Giancarlo Stanton played for the Marlins.,1
556,New Horizons is an object.,1
557,"In 2010, Midwestern Gothic was founded.",1
558,Alien: Covenant stars Michael Fassbender.,1
559,Maggie is another name Margaret Brown goes by.,1
560,Bill Black died on January 21.,0
561,"La La Anthony's date of birth was June 25th, 1979.",1
562,Boeing 737s serve markets previously filled by other midsize airliners.,1
563,Michelle Obama is unmarried.,0
564,Buddhism is largely based on the teachings of Jesus.,0
565,Doug Ducey was the French author of Cold Stone Creamery.,0
566,Ranbir Kapoor does not have a career in Bollywood films.,0
567,The Lion King's main character is Scar.,0
568,Steve Mouzakis was a cast member of an Australian thriller film.,1
569,Mark Hamill is a worker.,1
570,Silicon Valley is in the northern part of the U.S. state of California.,1
571,The Ten Commandments is reviewed by Cecil B. DeMille.,0
572,Doctor Doom is the father of Cynthia Von Doom.,0
573,George H. W. Bush retired from all politics in 1980.,0
574,The Wizard of Oz is from 1939.,1
575,"Tré Cool is a lyricist, trumpeter, and composer.",0
576,Hot was released by March.,0
577,Stars Dance is a podcast.,0
578,George H. W. Bush started in the oil business.,1
579,Baby Driver is a Nigerian film.,0
580,Transformers was promoted by toy company Hasbro.,1
581,Afghanistan is a place.,1
582,Year Zero did not make it to production.,0
583,The Panic in Needle Park starred American actress Kitty Winn.,1
584,Brooks Wackerman was born in 1998.,0
585,Laura Dern acted in Enlightened.,1
586,Linkin Park is not an American rock band.,0
