,claim,claim_veracity
50,COVID-19 is just like the flu,0
51,Everyone with COVID-19 dies,0
52,Cats and dogs spread coronavirus,0
53,Face masks always protect against coronavirus,0
54,Hand dryers kill coronavirus,0
55,SARS-CoV-2 is just a mutated form of the common cold,0
56,You have to be with someone for 10 minutes to catch the virus,0
57,Rinsing the nose with saline protects against coronavirus,0
58,You can protect yourself by gargling bleach,0
59,Antibiotics kill coronavirus,0
60,Thermal scanners can diagnose coronavirus,0
61,Garlic protects against coronaviruses,0
62,Parcels from China can spread coronavirus,0
63,Home remedies can cure and protect against COVID-19,0
64,You can catch coronavirus from eating Chinese food in the US,0
65,You can catch coronavirus from urine and feces,0
66,The virus will die off when temperatures rise in the spring,0
67,Coronavirus is the deadliest virus known to humans,0
68,Flu and pneumonia vaccines can protect against COVID-19,0
69,The virus originated in a laboratory in China,0
70,The outbreak began because people ate bat soup,0
71,5G helps SARS-CoV-2 spread,0
72,Drinking alcohol reduces the risk of infection,0
73,Injecting or consuming bleach or disinfectant kills the virus,0
74,A face mask exempt card shared on social media invokes the Americans with Disabilities Act and claims to excuse people from wearing face masks.,0
75,A test on video with a gas detector shows that face masks result in dangerous oxygen levels for the wearer.,0
76,A painting depicting children in face masks was created as a mural for the Denver airport in 1994 proving the COVID-19 pandemic was planned.,0
77,According to Bill Gates the COVID-19 RNA vaccine will permanently alter our DNA. RNA vaccines can also cause autoimmunity.,0
78,Meme shows Florida Surgeon General saying: Everyone should STOP wearing masks as they have now been found to be harmful to your health.,0
79,Alexandria Ocasio-Cortez tweeted Its vital that Governors maintain restrictions on businesses until after the November Elections because economic recovery will help Trump be re-elected. A few business closures or job losses is a small price to pay to be free from his presidency. #KeepUsClosed.,0
80,COVID-19 cases are up only because of our big number testing in the United States.,0
81,If you are licensed to carry a concealed weapon wearing a face covering for coronavirus removes your conceal carry ability.,0
82,Claim that Rep. Alexandria Ocasio-Cortez tweeted that U.S. governors should extend COVID-19 restrictions on businesses until after the November Elections.,0
83,In North Carolina you can be charged with a class H felony for wearing a mask and concealed carrying.,0
84,A face mask exempt card allows you to cite the ADA and not wear a mask.,0
85,A scientific study shows that cannabis is more effective at preventing and treating COVID-19 than hydroxychloroquine.,0
86,A short portion of an interview given by discredited researcher Judy Mikovits in which she claims that a vaccine for COVID-19 will be deadly warns against immunization and advocates for a five-year moratorium to test all vaccines has been watched tens of thousands of times on YouTube and Facebook.,0
87,Social media posts shared thousands of times in the United States contain multiple false or misleading claims about face masks used to stop the spread of COVID-19,0
88,Joe Biden and the Democrats want to prosecute Americans for going to church but not for burning a church.,0
89,The U.S. Occupational Safety and Health Administration (OSHA) says masks dont work and violate OSHA oxygen levels.,0
90,Gov. Gavin Newsom has no legal authority to make wearing face coverings mandatory in California.,0
91,President Trumps claim that he inherited no ventilators from the Obama administration.,0
92,OSHA says masks dont work to reduce COVID-19 transmission and violate OSHA oxygen levels.,0
93,Bill Gates who has led harmful vaccination campaigns in developing countries now plans to use COVID-19 vaccines to surveil the population.,0
94,If we stopped testing right now wed have very few cases if any.,0
95,News stories referencing the number 322 and COVID-19 are proof cases tolls are being synchronized.,0
96,In a very real sense (Oklahoma has) flattened the curve.  The number of cases in Oklahoma  its declined precipitously.,0
97,FREE HORSES!!!! 52 thoroughbred horses need homes. Will go to Sugarcreek this Sat. for slaughter. Gentleman died due to COVID-19 and his son wants nothing to do with them.,0
98,George Floyds murder filmed before COVID-19.,0
99,Six months before the COVID plandemic Bill Gates had negotiated a $100 billion contact tracing deal with (the) Democratic congressman sponsor of bill.,0
100,Gov. of Wisconsin Tony Evers removed the American flag from the Capitol building.,0
101,Corona Virus claims a black belt. Chuck Norris Dead at 80.,0
102,The biological lab in Wuhan where the COVID-19 virus was created was funded by President Barak Hussein Obama in 2015 to the tune of $3800000 American dollars.,0
103,A Facebook post shared more than 25000 times says face masks should only be worn by medical professionals or people who have become ill during the coronavirus pandemic.,0
104,Claim that Sarah Huckabee Sanders tweeted Its odd that the ANTIFA insurgency happened just as COVID-19 loses steam Its odd that COVID-19 happened the moment impeachment failed. Its odd that impeachment happened the moment Russian hoax failed. The Russian hoax happened because Hillary lost? Notice the pattern?,0
105,The CDC just confirmed a 0.2% death-rate for COVID19.,0
106,CNBC reported that Coronavirus patients without symptoms arent driving the spread of the virus based on remarks by a WHO official at a press briefing on 8 June 2020.,0
107,Wearing masks for the coronavirus decreases oxygen intake increases toxin inhalation shuts down immune system increases virus risk scientifically inaccurate effectiveness not studied.,0
108,The WHO stated that asymptomatic spread of COVID-19 is very rare therefore physical distancing and face masks are not necessary.,0
109,A Colorado bill is removing exemptions for parents who dont want to vaccinate their children in order to attend school.,0
110,Facebook posts shared thousands of times claim the coronavirus pandemic is a cover for a Gates Foundation-funded effort to implant microchips when patients noses or throats are swabbed during COVID-19 testing.,0
111,N95 masks block few if any COVID-19 particles due to their size.,0
112,Bill Gates coronavirus vaccine developed by Oxford researchers caused all test subjects to get coronavirus.,0
113,A meme shared thousands of times on Facebook claims people can suffer from reduced oxygen to their blood and brain possibly leading to death if they wear a disposable mask for too long.,0
114,A report drafted by a scientific panel appointed by Germanys Interior Ministry declaring the COVID-19 pandemic is a global false alarm was leaked by a former employee.,0
115,Shes just casually carrying a body with 1 hand..? Sure.. More evidence of coronavirus being a complete hoax with props & street theater.,0
116,A video has been shared thousands of times on social media claiming that circuit boards with COV-19 inscribed on them are being fitted to 5G towers.,0
117,How many of you are aware that the female governor of Michigan is the niece of George Soros?,0
118,Wearing a face mask caused a 19-year-old grocery store worker to be hospitalized for an lung infection due to breathing in her own carbon dioxide and bacteria.,0
119,A study by Bartomeu Payeras i Cifre shows a direct correlation between 5G networks and COVID-19 outbreaks and demonstrates clearly the most likely probability that the COVID-19 hypoxic injuries and hospital admissions are directly related to electromagnetic radiation exposure by 5G networks.,0
120,According to the CDC so far this year Florida has had 1762 deaths from COVID-19 and 5185 from pneumonia. Average pneumonia deaths in Florida from 2013-2018 for the same time period are 918.,0
121,Were down near the low end of per capita deaths  Most places are at 60 deaths per 100000. Were at 29.,0
122,Says the state health secretary says dont go to hospitals or clinics now the tourism secretary says dont recreate.,0
123,An image shared on social media claims vaccines are dangerous because they contain potassium chloride the chemical used to stop the heart in lethal injections.,0
124,Italy went against the WHOs law against COVID-19 autopsies and discovered covid is not a virus but a bacterium that clots the blood and reduces the oxygen saturation.,0
125,You see suicide rates are skyrocketing now in the United States.,0
126,[U.S. Rep. Conor Lamb] said he would NOT vote for [Nancy Pelosi] for Speaker and did.,0
127,Autopsies performed in Italy showed that COVID-19 is not pneumonia but a blood clotting disorder (disseminated intravascular coagulation). Doctors have been treating COVID-19 wrongly because ventilators and intensive care units were never needed; COVID-19 should instead be treated with antibiotics anti-inflammatories and anticoagulants.,0
128,COVID-19 is a bacterium that is easily treated with aspirin or a coagulant.,0
129,A study of 455 contacts of an asymptomatic carrier showed that none of the 455 were infected. The results prove that asymptomatic people cannot transmit COVID-19 and masks are therefore unnecessary. Some also claim that this shows COVID-19 is not contagious.,0
130,A photo shows Gov. Gretchen Whitmer on Mackinaw Island today ignoring mask and social distancing rules.,0
131,President Donald Trump tweeted Some oldies will have to die. Were in Gods hands folks! Liberate America!,0
132,Dolores Cahill claims in an interview on TheHighWire that there is already a preventive strategy and treatment for COVID-19 through nutrition vitamins and hydroxychloroquine therefore social distancing is unnecessary.,0
133,A photo shows three men on crosses who feel like theyre being crucified by being required to stay at home.,0
134,Japanese Nobel laureate Dr. Tasuku Honjo said the new coronavirus was engineered in a Chinese laboratory.,0
135,Myrtle Beach South Carolina reported 220000 new coronavirus cases in 72 hours.,0
136,Why did the state do that with COVID patients in nursing homes? Its because the state followed President Trumps CDC guidance.,0
137,Michigan Gov. Gretchen Whitmers family spent May 20 at her second home breaking her own stay-at-home orders.,0
138,Top White House coronavirus adviser Dr. Anthony Fauci served on the Clinton Foundations board of directors for 20 years.,0
139,Michigan governor reopened Traverse City so she could have her daughters open house.,0
140,The image shows Los Angeles County Department of Public Health Director Dr. Barbara Ferrer looking sickly.,0
141,People who have received flu vaccines in the past three to five years will probably test positive for COVID-19.,0
142,Bill Gates Explains That The COVID Vaccine Will Use Experimental Technology And Permanently Alter Your DNA.,0
143,Dr. Anthony Fauci said: as soon as a COVID-19 vaccine is manufactured it must be delivered to healthcare professionals for immediate human injection. Proper studies can be done later.,0
144,President Donald Trump cancelled the U.S. House bill on contract tracing and expelled WHO.,0
145,The German government billed China for 130 billion pounds in coronavirus damages.,0
146,House Speaker Nancy Pelosi was in Wuhan China six days after the impeachment HOAX failed.,0
147,If you look at the one (hydroxychloroquine) survey the only bad survey they were giving it to people that were in very bad shape. They were very old. Almost dead.,0
148,The new Dane County lockdown policy (has) effectively killed Badger football hockey and basketball for 2020.,0
149,A lot of people can get an additional $2400 from the CARES Act and they can do it every month!,0
150,Claim that President Donald Trump is trying to make $451 billion in Medicare cuts in the middle of a deadly pandemic.,0
151,The World Health Organization (WHO) said that no vegetarian has contracted COVID-19.,0
152,Texas and Florida have a balanced budget while California is in debt $54 billion and New York is in debt $6.1 billion.,0
153,UV-C lamps can kill 99.99% of all bacteria viruses and mold on any surface in ten seconds yet is 100% safe for humans and pets.,0
154,Children in Oregon may be taken away if their parent or legal guardian tests positive for COVID-19.,0
155,The video shows people celebrating the end of Saudi Arabias coronavirus lockdown.,0
156,Dolores Cahill in Computing Forever interview claims that taking vitamins C and D as well as zinc boosts the immune system against COVID-19 that hydroxychloroquine has been proven effective against COVID-19 and that COVID-19 patients who recover are immune for life among others.,0
157,New evidence shows wearing a face mask can help coronavirus enter the brain and pose more health risk.,0
158,An article claims that a nearly $50 million United Nations humanitarian aid package to Ecuador is conditional on the South American country legalizing abortions.,0
159,While California is dying  Gavin (Newsom) is vacationing in Stevensville MT!,0
160,The flu didnt kill any Americans this year.,0
161,Says a warning label on a box of disposable masks shows that they are ineffective at protecting against the spread of COVID-19.,0
162,Ohio Gov. Mike DeWine released 4300 prisoners and is now warning residents of a possible crime wave.,0
163,Video shows Dr. Anthony Fauci advising the public not to wear face masks to prevent spreading or being infected by the coronavirus.,0
164,Candace Owens claimed that the U.S. is not losing tons more lives in 2020 compared to 2019 and that the increase [in mortality in 2020 is] virtually non-existent.,0
165,A Facebook post shared 10000 times claims no Americans died from the flu in 2020 suggesting that the national count of COVID-19 fatalities is exaggerated.,0
166,The novel coronavirus was man-made.,0
167,Posts shared thousands of times on social media list a number of adverse health effects linked to wearing face masks.,0
168,Italian Parliament Calls For The Arrest of Bill Gates,0
169,If masks prevent coronavirus governors would have given them to prison inmates instead of releasing them.,0
170,Hydroxychloroquine cures this virus. It just so happens this is the treatment used for radiation sickness!!,0
171,A Facebook post shared thousands of times claims the US Centers for Disease Control and Prevention lied about the number of deaths caused by COVID-19 by combining the count with pneumonia and influenza fatalities.,0
172,Research proves that commercial mouthwash could protect against COVID-19.,0
173,Telecommunications worker exposed circuit boards being installed in 5G towers bearing markings that read COV-19.,0
174,A post on Facebook criticizes the effectiveness of face masks in protecting the wearer from COVID-19 the disease caused by the novel coronavirus.,0
175,Cannabis may stop coronavirus from infecting people study finds.,0
176,Claims made in the viral video Plandemic include: that the virus was manipulated in a laboratory setting; that hydroxychloroquine is effective against these families of viruses and that wearing a mask activates the virus.,0
177,The photo shows Microsoft co-founder Bill Gates and top White House coronavirus adviser Dr. Anthony Fauci violating social distancing guidelines.,0
178,The photo shows former Vice President Joe Biden and Michigan Gov. Gretchen Whitmer violating social distancing guidelines on April 9.,0
179,The photo shows a letter purportedly from the California Department of Social Services that mandates coronavirus testing for participants of state assistance programs and warns that children may be removed from the household if someone tests positive.,0
180,Says Nancy Pelosi tried once again to include abortion funding in the latest coronavirus bill.,0
181,Due to the large number of people who will refuse the forthcoming COVID-19 vaccine because it will include tracking microchips the Gates Foundation is now spending billions to ensure that all medical and dental injections and procedures include the chips.,0
182,If COVID-19 was a serious illness it would have wiped out the homeless population in the U.S.,0
183,Vaccines are in direct violation of The Nuremberg Code.,0
184,Anthony Fauci was on the Clinton Foundation board for 20 years and currently serves on Gates Foundation.,0
185,Wisconsin Governor Tony Evers administration deemed dentists non-essential.,0
186,$100B contact tracing bill is about controlling/tracking population not about coronavirus.,0
187,United States the only country on Earth that is protesting being on lockdown amid the coronavirus outbreak.,0
188,The U.S. is the only country on earth that is protesting being locked down.,0
189,Police violently forced a family from their home in the U.S. in handcuffs because they were in violation of House Resolution 6666.,0
190,Clearly the Obama administration did not leave any kind of game plan for something like this.,0
191,The video shows the bodies of deceased COVID-19 victims washing ashore after some countries dumped them in the sea.,0
192,White South Africans have been banned from receiving government aid during the coronavirus pandemic.,0
193,President Donald Trump implemented a travel ban that just didnt work 400000 people got in from those countries that were subject to the restrictions.,0
194,Vice President Mike Pence was caught on a hot mic delivering empty boxes of personal protective equipment (PPE) to a Virginia health care center.,0
195,President Trump posted a tweet blaming President Obama for failing to prepare him for a pandemic and celebrating that there are still more people alive than dead.,0
196,An article that has been widely shared on social media warns healthy people against wearing face masks during the COVID-19 pandemic citing alleged risks,0
197,Plandemic  a slickly-edited 26-minute interview with a discredited researcher  has been widely shared on social media.,0
198,A U.S. House bill would give government the power to forcibly take your family members from your home and quarantine them.,0
199,Senate Majority leader Mitch Connell said the Obama administration left no game plan for a pandemic.,0
200,Autopsies prove that COVID-19 is a blood clot not pneumonia and ought to be fought with antibiotics and the whole world has been wrong in treating the so-called pandemic.,0
201,Germany and the United States are the two best in deaths per 100000 people which frankly to me thats perhaps the most important number there is.,0
202,Nancy Pelosi said Congress shall not vote remotely because it is not secure! while also saying that Americans should all vote for president by mail!,0
203,Dr. Anthony Fauci is pushing remdesivir as a potential COVID-19 treatment drug because he invented it with Bill Gates and they stand to profit from it.,0
204,Barack Obama is the first ex-president to ever speak against his successor.,0
205,This is what Bill Gates and George Soros want to do secretly stick you with a chip while testing you for the coronavirus the Dems have a bill on the House floor ready to vote on it to require this.,0
206,House Resolution 6666 includes billions of dollars to fund forced quarantining for Americans who test positive for COVID-19.,0
207,Under an 1866 Supreme Court ruling stay-at-home orders are illegal in the United States and can be disregarded with impunity.,0
208,Guess what [children are] not at risk unless they have an underlying medical issue.,0
209,American Vice-President Mike Pence was caught on a hot mic delivering empty boxes of PPE to a nursing home and pretended they were heavy.,0
210,President Trump sent out a tweet that included the phrase Oldies will have to die in connection with lifting coronavirus restrictions.,0
211,Australias COVIDSafe app tracks users locations.,0
212,Madagascar has found a coronavirus medicine that can wipe out the virus at any stage within a period of six days.,0
213,A video shows a Maasai tribe member in Kenya whipping people who violate the countrys curfew during the coronavirus pandemic.,0
214,Says wearing face masks is more harmful to your health than going without one.,0
215,The mainstream media pretended there was a deadly surge in COVID cases thanks to Wisconsinites voting.,0
216,A card claiming to exempt the holder from wearing a face mask in public the real deal sanctioned by the government.,0
217,U.S. Vice President Mike Pence delivered empty boxes of PPE to a hospital as a publicity stunt.,0
218,Ventura County public health director say that the California county will be forcibly moving people infected with COVID-19 out of their homes into quarantine.,0
219,Since the reopening of (the state of Georgia) weve seen our COVID rate skyrocket by 40%.,0
220,Jimmy Kimmel tweeted a video which said VP Mike Pence carried empty PPE boxes.,0
221,Dr. Fauci sat on Microsofts board of directors.,0
222,The CDC has recommended mail in voting. Thats what this whole pandemic is about: the election!.,0
223,States like New York Illinois and California have been vocal in their demands for funding to bail out their pension systems which were failing long before the COVID-19 outbreak and other programs that arent related to this crisis.,0
224,A widely-circulated image claims to reveal the ingredients contained in this years flu shots. The alleged ingredients include mercury antifreeze phenol animal blood animal viruses and formaldehyde.,0
225,The origin of the novel coronavirus was manipulated contain coronaviruses and masks can reinfect wearers.,0
226,Gates Foundation stands to make nearly 31.5 billion on a coronavirus vaccine in U.K.,0
227,A video shows British Prime Minister Boris Johnson serving journalists tea after recovering from COVID-19.,0
228,$3 trillion for federal coronavirus stimulus packages is being borrowed basically from China.,0
229,Viral video reveals there is a coronavirus vaccine patent owned by Bill Gates.,0
230,Bill Gates said that the Catholic religion may have to be suspended forever because of the COVID-19 pandemic.,0
231,Democratic congrasswoman Ilhan Omar tweeted that there have been more deaths due to COVID-19 than 9/11 and the wars in Vietnam Iraq and Afghanistan combined,0
232,For the World Health Organization the international entity whose sole responsibility it is to alert the world of global pandemics like this to miss this is a huge problem.,0
233,Trump bailed out Wall Street but not Main Street.,0
234,Models projecting COVID-19 deaths are talking about without mitigation.,0
235,Plandemic vignette featuring Judy Mikovits claims that coronavirus is manmade; that flu vaccine increases risk of COVID-19; that hydroxychloroquine is effective for treating COVID-19.,0
236,Trump campaign video suggesting Trumps travel restrictions on China saved 2 million lives.,0
237,A post shared more than 160000 times on Facebook during the novel coronavirus pandemic says Bill Gates wants digital tattoos to check who has been tested and asks if it would be like holocaust victims have.,0
238,The Centers for Disease and Prevention has reduced the number of COVID-19 cases recorded in the U.S.,0
239,A photo shows Proud Boys member Rob Cantrall at a recent Michigan protest.,0
240,There was no real scientific basis for believing that social distancing would be necessary since it had never been studied.,0
241,Regarding the risks of coronavirus transmission on an airplane Its as safe as an environment as youre going to find.,0
242,Trump: Medically we had empty cupboards. The cupboards  I say the cupboards were empty.,0
243,Central Park hospital tents housed thousands of abused children released from underground captivity.,0
244,Wearing face masks can cause carbon dioxide toxicity; can weaken immune system.,0
245,Joe Biden has written a letter of apology for calling Trumps travel restrictions from China xenophobic.,0
246,Posts on social media claim the US Centers for Disease Control and Prevention (CDC) has revised down its death toll for COVID-19.,0
247,CDC suddenly lost 30000 deaths from coronavirus from its data thus proving the virus is not as serious as it seems.,0
248,Gas is under $1 in 13 states but $2.27 in Pennsylvania because of the governor.,0
249,93% of the (COVID-19) cases in the state of Illinois have come from Chicago.,0
250,Under the mayors COVID-19 order Kansas City churchgoers must register with the government.,0
251,The CARES Act was introduced in January 2019 which proves the COVID-19 pandemic was planned in advance.,0
252,Social media users have shared a photo that claims to show a Center for Global Human Population Reduction affiliated with the Bill & Melinda Gates Foundation.,0
253,COVID-19 has infected more meatpackers in the U.S. than health care workers.,0
254,Kentucky teachers will conduct in-home bedroom inspections during the week of April 27 for their kindergarten through eighth grade students.,0
255,The photo shows a packed beach in Bloemfontein South Africa during the countrys coronavirus lockdown.,0
256,Pennsylvanias governor breaking his own social distancing rules in a photo.,0
257,Bill Gates admits his COVID-19 vaccine might kill nearly 1 million people.,0
258,Former Rep. Trey Gowdy wrote essay past on social media claiming the COVID-19 pandemic was planned to help Democrats in the 2020 election.,0
259,People should ignore guidelines to wear masks especially since the government doesnt advise mask wearing for tuberulosis.,0
260,The White House is selling coins commemorating the COVID-19 pandemic.,0
261,Madagascar does not have any cases of the coronavirus,0
262,An article circulating on Facebook claims that Microsoft co-founder Bill Gates said a COVID-19 vaccine could kill almost one million people citing an interview he gave.,0
263,South African President Cyril Ramaphosa asked all foreigners to leave the country by June 21 in response to the spread of COVID-19.,0
264,The video shows the FBI seizing coronavirus-infected face masks sent from China.,0
265,The post contains a COVID-19 conspiracy theory written by former South Carolina Rep. Trey Gowdy.,0
266,The photo shows bedding and food aid packages distributed in Rwanda during the coronavirus pandemic,0
267,Georgia Gov. Brian Kemp mandates restaurants reopen.,0
268,Governor Andy Beshear has authorized Kentucky teachers to make in-home visits. With parental approval teachers will inspect the bedroom of each student currently enrolled in K-8.,0
269,CDC does not recommend wearing masks.,0
270,President Donald Trump is selling coronavirus-themed commemorative coins through the White House Gift Shop.,0
271,Dr. Elisa Granato one of the first volunteers to receive a potential COVID-19 vaccine in the U.K. has died.,0
272,Walmart Amazon Kroger Target and Costco have not had any reported (coronavirus) cases in the news.,0
273,The Department of Homeland Security (DHS) plans to mobilize the National Guard to enforce a nationwide 14-day quarantine.,0
274,News outlets are misusing a boys image to report the same child died of COVID-19 in three different countries.,0
275,Harvard professor Charles Lieber was arrested for manufacturing and selling the new coronavirus to China,0
276,French health care workers are putting on defective Chinese-made protective gowns.,0
277,Mosquitoes can spread COVID-19 from person to person.,0
278,Donald Trumps claim that the USA had more testing than all other countries combined.,0
279,So 2 doctors from Bakersfield discover that coronavirus mortality rate is 0.03%. 13x less deadly than what was previously thought! Their analysis has since been banned from YouTube.,0
280,Walmart Kroger Amazon Target and Costco had no reported cases of coronavirus in the news.,0
281,Young people have a greater chance of being killed by the HPV vaccine than COVID-19.,0
282,Sign outside the Bill & Melinda Gates Foundation says Center for Global Human Population Reduction.,0
283,Coronavirus mortality rate been proven to be 0.03%.,0
284,Walmart Amazon Kroger Target and Costco stores  while staying open during the COVID-19 pandemic  have not had any reported cases of employees contracting the coronavirus.,0
285,Thousands of doctors say hydroxychloroquine cures coronavirus.,0
286,Children dont seem to be getting this virus.,0
287,Says Dr. Anthony Faucis name appears on 4 U.S. patents for a key glycoprotein used to create the current COVID-19 epidemic.,0
288,Says if youre refused service at a store for not wearing a mask call the department of health and report the store. Masks are suggested not required.,0
289,Michigan Gov. Gretchen Whitmer has just been stripped of her emergency coronavirus powers by her state legislature.,0
290,Weve tested more than every country combined.,0
291,The CDC recommends that only people with COVID-19 symptoms should wear masks.,0
292,Dr. Anthony Fauci has known for 15 years that chloroquine and  hydroxychloroquine will not only treat a current case of coronavirus but prevent future cases.,0
293,The (corona)virus just isnt nearly as deadly as we thought it was.,0
294,All Missouri businesses can open Monday May 4 under our new Order as long as new guidelines are followed.,0
295,A 2005 NIH study shows that Fauci already knew of chloroquines effectiveness against coronaviruses including SARS-CoV-2.,0
296,Dr. Anthony Fauci disappeared at the end of April because he had illegally sent $3.7 million to a virology lab in Wuhan China.,0
297,Hospitals in the United States get paid $750 for patients who die from the flu $17500 for COVID-19.,0
298,If you have had a flu shot in the last 3-5 years you will probably test positive for COVID-19.,0
299,Late herbalist known as Dr. Sebi was correct in saying viruses dont exist.,0
300,Why did the US (NIH) in 2017 give $3.7m to the Wuhan Lab in China? Such grants were prohibited in 2014. Did Pres. Obama grant an exception?,0
301,The rate of coronavirus-related deaths being reported out of New York City is 200 times higher than the death rates of the worlds largest 10 cities.,0
302,The government must have planned the coronavirus pandemic because the coronavirus relief bill had been introduced three years earlier.,0
303,Japanese doctor who won Nobel Prize said coronavirus is artifical and was manufactured in China.,0
304,A Facebook post shared more than 29000 times claims people in Pennsylvania who do not wear a face mask in public during the novel coronavirus pandemic risk a $500 fine and up to six months in jail.,0
305,Graphics shared thousands of times on social media claim to show the exact probability of COVID-19 carriers spreading the disease if they or another person wears a mask.,0
306,Elisa Granato the first volunteer in the first Europe human trial of a COVID-19 vaccine has died.,0
307,First volunteer in UK coronavirus vaccine trial has died.,0
308,A volunteer for Oxford coronavirus vaccine died.,0
309,Doctors encouraged by hospitals and AMA to overcount COVID-19 deaths.,0
310,Black cats in Vietnam are being killed and consumed as a COVID-19 cure.,0
311,Mitch McConnell said he wanted states to go bankrupt instead of the federal government providing relief. Today Thom Tillis agreed.,0
312,Ultraviolet Radiation is administered into the body as a disinfectant to kill bacteria and viruses and this has been used for a while now.,0
313,Exposure of blood to ultraviolet light rids the body of coronavirus.,0
314,Half the workforce in the country may have just been idled by coronavirus.,0
315,Weve still had more deaths to the flu this year than weve had COVID-19.,0
316,Two physicians in Bakersfield California claim that COVID-19 is similar to the flu in terms of prevalence and mortality; that sheltering in place weakens that immune system.,0
317,North Carolinas health department is telling hospitals that if they decide to do elective surgeries they wont be eligible to receive (protective equipment) from the state.,0
318,Smoking may protect against COVID-19; scientists believe nicotine might protect against coronavirus.,0
319,U.S sent 100000 military forces to South China Sea in a move to increase its presence in the region against the backdrop of the coronavirus pandemic.,0
320,President Trump urged people to ingest or inject disinfectants as a treatment for coronavirus.,0
321,November 2019 job listing for a quarantine advisor at the Centers for Disease Control and Prevention prove the government knew the COVID-19 would hit United States.,0
322,Mosques are allowed to stay open during pandemic in the United States but churches are not.,0
323,Trump and McConnell are blocking stimulus checks for Americans married to immigrants.,0
324,President Barack Obama signed the medical appliance tax bill that forced companies to outsource manufacturing of masks gowns gloves and ventilaors [sic] to China Europe and Russia to avoid the tax.,0
325,Its not the coronavirus thats killing people. It is the economy.,0
326,President Trump just announced that the biological lab in Wuhan where the COVID-19 virus was created was funded by President Barak Hussein Obama in 2015 to the tune of $3800000 American dollars!,0
327,Pelosi was in (Wuhan) China 6 days after the impeachment HOAX failed.,0
328,The existence of a canine coronavirus vaccine casts doubt on statements that there isnt one for humans.,0
329,People defying stay-at-home order fill Arizona beaches.,0
330,Mosquitoes can transfer COVID-19 from person to person.,0
331,If you paid rent in March or April in the United States they got to give you your money back.,0
332,Pennsylvania House of Representatives approved funding for COVID-19 in June 2019 proving that the pandemic was pre-planned.,0
333,A video of hot mic comments between a Fox News reporter and a New York Times photographer reveals that COVID-19 is a hoax and proves that there is a secret vaccine.,0
