,claim,claim_veracity
220,South Africa's Zuma says Zimbabwe takeover should not lead to unconstitutional government,1
221,MUST WATCH AND SHARE VIDEO: BRIT HUME GIVES THE BEST EVER 1.5 MINUTES ON THE PLANNED PARENTHOOD SCANDAL,0
222,Democrats to demand restructuring mechanism for Puerto Rico: letter,1
223, This Single Anecdote Tells You EVERYTHING You Need To Know About Trump Voters,0
224,"Jihadists mock Trump travel ban, vow more attacks",1
225,Kenya opposition leader Odinga says he will not share power,1
226,BREAKING: US Deploys “Nuke Sniffer” Plane To Test For Threat From Russia,0
227,FANTASTIC! New Commercial Hammers Crooked Hillary! ,0
228, College Moves to Fire Christian Professor For Saying Christians And Muslims Worship Same God ,0
229,Macron asks Netanyahu to make gestures to break peace impasse,1
230,WHO NEEDS NANCY PELOSI WHEN CONGRESS HAS PAUL RYAN: “It’s  declassified and made public once it’s agreed to”,0
231,Bolivians protest Morales' new bid to extend term limits,1
232,Turkish minister says will work to improve ties with Germany,1
233,Golf Addicted 70-Year-Old Man Says He ‘Couldn’t Care Less About Golf’,0
234,"Illinois governor stalls bond sales, seeks other options to pay bills",1
235,China conducts 'island encirclement' patrols near Taiwan,1
236,Japan's defense chief warns of possible North Korea provocation on October 10,1
237,"Judge delays NJ Senator Menendez's dismissal bid, trial set for September 6",1
238,Republican Governor Scott Walker Makes Poverty Hit Highest Level In 30 Years,0
239,Ex-aide: Christie 'lied' about New Jersey 'Bridgegate' - filing,1
240,Draining the swamp: Hard-hit Everglades town mops up after Irma,1
241,Turkey's Erdogan says wants Akkuyu nuclear plant foundations laid by end-November: papers,1
242,Philippine troops kill 14 Maoist rebels in clash: army,1
243,"After sowing doubts, Trump backs NATO mutual defense under charter",1
244,Congo naval boats battle rebels on Lake Tanganyika,1
245,Dutch government rolls out carpet for business with tax cuts,1
246," New Study Proves That Trump Supporters Are Racist, Infuriated By Black People ",0
247,Trump to unveil $1 trillion infrastructure plan in 2017: official,1
248,NEW VIDEO: NICE TERROR ATTACK…What The Media’s NOT Telling You,0
249,Deadline nears for Catalan leader to clarify independence stance,1
250,THIS TOPS IT ALL! HILLARY CLINTON Makes Shocking Statement Exposing Her Continued Delusion About 2016 Election Loss,0
251, princeton professor demonstrates how easily voter fraud is committed on electronic voter machines ,0
252,California demands details of Trump administration immigration arrests,1
253, Ann Coulter Slips Up During Interview And Gives Us The Greatest Reason Ever NOT To Vote Trump ,0
254,Justice Department mulls changing corporate prosecution policy,1
255, Maine’s Horrible Governor Just Outright Declared Blacks And Hispanics ‘The Enemy’,0
256,LOL! $45 MILLION DOLLAR WHOOPI Complains Conservatives Prevented Her From Making A Living,0
257, Trump Supporters Object To Prince Harry’s Recent Engagement For Terrible Reasons ,0
258,"UNREAL! TWO FLORIDA Immigrant Politicians Intimidated Voters: “Candidates watched over their shoulders, telling them who to vote for.”",0
259," black dallas police sergeant sues obama, hillary, george soros, sharpton, black lives matter and more for inciting race war",0
260,France's Macron unveils plan to curb violence against women,1
261,U.N. experts urge Hong Kong to uphold rights of democracy activists,1
262,Tillerson cites Russian inaction as helping to fuel Syrian poison gas attack,1
263,Russia and North Korea to discuss nuclear crisis in Moscow,1
264,MICHIGAN PUBLIC HIGH SCHOOL Hosts Segregated Muslim Sharia Prom,0
265, Evan McMullin: ‘Never In His Life’ Has Trump Had To Watch His Mouth ,0
266,"Kuwait could pay up to $60,000 for party at Trump Hotel in Washington",1
267,Britain says will not recognize Catalonian declaration of independence,1
268,U.S. Debt DECREASED By $68 BILLION In First Month Of Trump Presidency…Guess Who DOUBLED U.S. Debt During 8 Years In Office?,0
269,joy behar of “the view” calls bill clinton rape and sexual assault victims “tramps” that “slept with” hillary’s husband…whoopi says hillary’s the “victim”,0
270,Britain will suffer from Brexit more than EU: German minister,1
271,HOLLYWOOD HYPOCRITES MATT DAMON and RUSSELL CROWE Reportedly Helped Kill NYT’s Story That Could Have Exposed Harvey Weinstein 13 Years Ago,0
272,"Saviors or profiteers? Bangladesh fishermen rescue Rohingya, for a price",1
273, Trump’s Trying To Attend Muhammad Ali’s Muslim Funeral – His Family’s Response Is Brilliant,0
274, JUDGE JEANINE: FREE SPEECH IS NON-NEGOTIABLE – PERIOD!,0
275,"U.N. seeks humanitarian pause in Sanaa where streets ""battlegrounds""",1
276,Republican presidential nominee Carson's finance chair quits,1
277,"State Department describes plans for cuts, offers few specifics: sources",1
278,Senator talks all night as Democrats fight Trump court nominee,1
279,Britain's M1 motorway partially closed after suspicious object discovered,1
280," Trump Lied About ‘Spontaneous’ Call With Taiwan, They Had Been Planning To Talk For Months",0
281,"Dear Liberal, Why I’m So Hostile…And How “Your political beliefs are a threat to liberty – not just for me, but for my three boys”",0
282," If Trump Had Known About This Nixon Era Law, He Wouldn’t Have Run For President",0
283,Trump says criticism of him by Republican Senator Corker 'strange',1
284," BREAKING: Cop Finally Gets His Due, Walter Scott’s Killer Sentenced To Prison ",0
285, NC Governor Just Slapped The LGBT Community Even Harder With This Horrific Executive Order,0
286, Green Day Just Gave Trump The ULTIMATE Pre-Inauguration ‘F*ck You’ And Conservatives Are FURIOUS ,0
287,Trump gains first endorsement from member of Congress,1
288,Witness says injured in stampede at London station: Reuters reporter,1
289,Trump's antitrust pick meets with Elizabeth Warren: source,1
290,Myanmar's Suu Kyi 'urges people not to quarrel' on visit to Rakhine,1
291," Veteran Trolls Trump, Launches Fundraiser To Send Him To Combat Zone",0
292, Bundy Terrorists Claim God Told Them To Act Like Toddlers And Take Over Wildlife Refuge,0
293," Hooded Men Spray-Paint Racial Slurs, Pro-Trump Graffiti At UCSD Campus ",0
294,LOCK HIM UP! CEO Threatens To Assassinate Trump With Sniper Rifle At White House,0
295,"Russia shrugs off Sessions uproar, says has daily contacts with U.S. partners",1
296,Mexico says won't pay for Trump's 'terrible' border wall,1
297," house dem has had enough, formally starts impeachment proceedings against trump",0
298, ‘Responsible Gun Owner’ Who Shot His Girlfriend Beaten Unconscious By Partygoers ,0
299,TRUMP POISED TO REVERSE OBAMA’S Politicized “Global Warming” Policies…Plans To Bring Energy Jobs Back To Americans,0
300,Trump says Florida massacre proves he's right on Islamist threat,1
301," Louisiana’s Dem. Governor Steps Up, Signs Executive Action Barring LGBT Discrimination",0
302,"In meeting with military, Trump talks of 'calm before the storm'",1
303,Trump thanks Putin for slashing U.S. diplomatic staff,1
304, Democrats Raise Money To Rebuild Firebombed GOP Office While Selfish Trump Demonizes Them,0
305,U.S. senators hammer Facebook for power over elections,1
306,FORMER ATTORNEY GENERAL: Here’s Why Trump Is Right To Question Fairness Of Judge In Trump Univ Lawsuit,0
307,BOMBSHELL CASE: Illegal Alien Voting Cover-Up Exposed as Virginia Governor Blamed for Thousands Casting Ballots,0
308,"Nigerian president likens Myanmar crisis to Bosnia, Rwanda genocides",1
309,"TRUMP ARRIVES IN MOBILE, ALABAMA TO SAY THANKS…Obama Vacations For 17 Days In Hawaii",0
310,At least six killed in Iran by quake: TV,1
311,"PLOT THICKENS: D.C. POLICE CHIEF Who Oversaw Seth Rich Murder Socialized With Top Democrats, Debbie Wasserman-Schultz",0
312,Unlikely allies eye vote to legalize cannabis in New Zealand,1
313,House Democrats rally to protect Special Counsel Mueller,1
314,"REPUBLICAN DEBATE LINE OF THE NIGHT: “Keep swinging’ men, swing for the fences!” ",0
315," Trump Press Secretary F*cks Up, Idiotically Retweets Satire Video Making Fun Of Him",0
316,"REPORT: Donald Trump LIED About Donating To 9/11 Charities, Didn’t Donate Until He Was Campaigning",0
317, racist fox news goon gets punked by comedian on the streets,0
318, this is how president obama and donald trump treat women,0
319,IMAM SLAMS CBS News For Trying To “Make Terrorist White”…”I’m Glad They Didn’t Make His Eyes Blue As Well”,0
320,"Trump touts support for NATO, but expansion languishes in Senate",1
321, Reince Priebus Just Said ‘Every Single Thing’ Trump Does Is ‘Factual’ ,0
322, Trump In Scotland: Collapse Of The United Kingdom Will Be Great For My Golf Course Actually,0
323,Ryan defends Trump immigration order but regrets confusion,1
324, We Sh*t You Not: Game Show Host Steve Harvey Given Role In Trump Admin ,0
325,Bernie Sanders Reveals His Full Health Care Funding Plan: The 1% Are Going To Hate It,0
326, This Tweetstorm PERFECTLY Explains Why Recounts Terrify Trump – It’s Not Fear He Might Have Lost,0
327,Maryland lawmakers approve bill to fight drug price-gouging,1
328,"'We appoint our ambassadors', says UK PM's spokesman",1
329,A MUST WATCH! “HILLARY’S AMERICA” – TRAILER,0
330, US Marine Puts Sarah Palin In Her Place For Blaming PTSD To Excuse Son’s Violent Behavior,0
331," NC GOP Judge Leaves Bench In DISGUST, Gives Corrupt GOP Legislature A MASSIVE F-You ",0
332,Trump tweets about Russia probe spark warnings from lawmakers,1
333,Soros says Hungarian government lying in attacks against him,1
334,India says committed to climate pact despite U.S. withdrawal,1
335, trump defender gets humiliated by anderson cooper for absurd wiretapping claim,0
336, Department Store Chain Drops Ivanka Trump Like A Bad Habit As Daddy F*cks Over Our Country,0
337,White House seeking sharp budget cut to climate agency: Washington Post,1
338,U.S. not started assessment on any Trump intel disclosure to Russia: Coats,1
339,U.S. offers new dates when Tillerson could attend NATO meeting,1
340,Supreme Court nominee out in cold as election heats up,1
341,Trump University lawyers ask judge for another shot at ending class action,1
342,LOL! The Woman Who Couldn’t Be Bothered With Protecting Lives Of Brave Americans Serving In Benghazi Attacks Trump On National Security,0
343,Senate set for pivotal vote on Supreme Court nominee,1
344,Syrian army nears Islamic State stronghold al-Mayadin,1
345,Turkey issues arrest warrants for 25 soldiers in post-coup probe - sources,1
346,HYSTERICAL! DELUSIONAL HILLARY CLAIMS “EPIDEMIC” Of “Fake News” Was Her Downfall ,0
347,Ex-Homeland Secretary Johnson to testify in Russia probe: House intel panel,1
348,SPD leader wants Merkel to relinquish finance ministry: Handelsblatt,1
349,U.S. allies caution Trump on Syria strategy,1
350,Japan PM says it's not so easy to change Trump's mind on TPP,1
351, Texas Republicans Cut Environmental Regulations And Now Black Sludge Is Coming Out Instead Of Tap Water,0
352,Treasury Secretary says Trump has approved new bank regulator,1
353,"No deal yet on healthcare bill, House Freedom Caucus chairman says",1
354,U.S. House may vote within days on tighter North Korea sanctions,1
355,"adviser who wrote trump’s tax plan says you will be able to buy a new car for $1,000",0
356,CHAIRMAN OF DEMS FOR TRUMP: My Party is Suffering from ‘Trump Derangement’ ,0
357, Fox News Seems SUPER Bummed They’re Forced To Report Iran Released Prisoners ,0
358,"Under scrutiny, Kaspersky Lab considers changes to U.S. subsidiary",1
359, Carly Fiorina Ambushes Preschoolers On Field Trip To Prove Point About Abortion ,0
360,Trump lawyer: Deutsche Bank has not received subpoena for Trump records,1
361,Trump: Sending New York City suspect to Guantanamo would take too long,1
